"sample"	"gdd0"	"gdd5"	"chill"	"mtco"	"mtwa"	"mipt"	"aaetpt"	"apetpt"	"miptev"	"aaetptev"	"apetptev"	"miptdc"	"aaetptdc"	"apetptdc"	"totsnopt"	"annp"	"pjanpann"	"pjulpann"	"Jan_Tmp"	"Feb_Tmp"	"Mar_Tmp"	"Apr_Tmp"	"May_Tmp"	"Jun_Tmp"	"Jul_Tmp"	"Aug_Tmp"	"Sep_Tmp"	"Oct_Tmp"	"Nov_Tmp"	"Dec_Tmp"	"TMax"	"TMin"	"Jan_PPT"	"Feb_PPT"	"Mar_PPT"	"Apr_PPT"	"May_PPT"	"Jun_PPT"	"Jul_PPT"	"Aug_PPT"	"Sep_PPT"	"Oct_PPT"	"Nov_PPT"	"Dec_PPT"	"Jan_sun"	"Feb_sun"	"Mar_sun"	"Apr_sun"	"May_sun"	"Jun_sun"	"Jul_sun"	"Aug_sun"	"Sep_sun"	"Oct_sun"	"Nov_sun"	"Dec_sun"	"Need11"	"Broad11"	"Decid11"	"Ever11"	"TotWoody11"	"Open11"	"NeedStd"	"BroadStd"	"DecidStd"	"EverStd"
"S1"	5077.6	3252.6	0	11.7	17.1	0.3663	400.0916	1092.1046	0.3663	400.0916	1092.1046	0.3663	400.0916	1092.1046	0	400	0.2075	0.0075	11.8	NA	11.7	12.4	13.1	14.5	16	16.9	17.1	15.9	13.7	11.8	34.5	-1.1	83	77	69	30	5	2	3	3	5	12	50	61	64	68.7	70.8	76.4	67.7	65.3	72.1	71.5	70.8	69.1	60.6	59.8	0.73	1.74	1.74	0.73	2.47	97.53	2.78	4.31	4.31	2.78
"S2"	3942.6	2288.4	99	2.3	20.9	0.3599	393.0137	1091.9166	0.3599	393.0137	1091.9166	0.3004	296.7785	987.9222	56.155	588	0.1786	0.0136	2.3	4.2	5.7	8.6	12.8	NA	20.9	20.4	16.8	11.9	5.9	2.3	40.4	-24.4	105	91	80	45	23	13	8	7	13	30	76	97	58.4	67.4	75.9	81.6	83.4	85.7	89.4	88.2	87.6	83	65.3	55.9	0.35	1.36	1.36	0.35	1.71	98.29	1.88	5.28	5.28	1.88
"S3"	3790.6	2179.2	112	1.9	20.6	0.3735	402.7052	1078.2172	0.3735	402.7052	1078.2172	0.3007	286.5653	952.8404	75.2196	591	0.176	0.0152	1.9	3.8	5.2	8.1	12.3	16.9	20.6	20	16.4	11.5	5.5	1.9	39.9	-25.5	104	90	80	45	24	14	9	8	14	30	76	97	59.1	67.6	75.8	81.3	82.9	85.3	89	87.8	87.3	82.8	65.6	56.6	0.35	1.36	1.36	0.35	1.71	98.29	1.88	5.28	5.28	1.88
"S4"	3377.4	1921.3	137	0.8	19.8	0.42	437.0161	1040.6326	0.42	437.0161	1040.6326	0.3204	279.7214	873.1153	150.9861	600	0.1717	0.02	0.8	2.4	3.8	6.7	11.1	15.9	19.8	19.2	15.4	10.3	4.3	0.8	38.6	-28.6	103	89	79	46	26	16	12	11	15	31	75	97	61.2	68.1	75.5	80.4	81.4	84	87.7	86.6	86.3	82.3	66.1	58.7	0.35	1.36	1.36	0.35	1.71	98.29	1.88	5.28	5.28	1.88
"S5"	7672.9	5847.9	0	9	33.4	0.0184	26.0141	1415.917	0.0184	26.0141	1415.917	0.0184	26.0141	1415.917	0	26	0.2692	0	9.3	12.8	16.1	19.8	25	29.8	33.4	32.4	27.9	21.7	14.4	9	49.4	-8	7	5	1	1	0	0	0	1	3	1	4	3	60.6	69	72.9	79.8	81.9	88	88.8	88.9	87.4	81.8	67.9	61.4	0	0	0	0	0	100	0	0	0	0
"S6"	7645.6	5820.6	0	8.9	33.4	0.0198	28.0141	1413.6934	0.0198	28.0141	1413.6934	0.0198	28.0141	1413.6934	0	28	0.25	0.0357	9.2	12.7	16	19.7	24.9	29.7	33.4	32.4	27.8	21.7	14.3	8.9	49.3	-8.1	7	5	1	1	0	0	1	1	3	1	4	4	60.7	69	72.9	79.8	81.8	88	88.7	88.8	87.3	81.8	67.9	61.5	0	0	0	0	0	100	0	0	0	0
"S7"	7630.3	5805.3	0	8.9	33.3	0.0206	29.0308	1412.2571	0.0206	29.0308	1412.2571	0.0206	29.0308	1412.2571	0	29	0.2414	0.0345	9.2	12.7	15.9	19.7	24.9	29.6	33.3	32.3	27.8	21.6	14.3	8.9	49.3	-8.2	7	5	1	2	0	0	1	1	3	1	4	4	60.7	69	72.8	79.8	81.8	87.9	88.7	88.8	87.3	81.7	67.9	61.5	0	0	0	0	0	100	0	0	0	0
"S8"	7609.1	5784.1	0	8.8	33.3	0.0213	30.0146	1410.7922	0.0213	30.0146	1410.7922	0.0213	30.0146	1410.7922	0	30	0.2333	0.0333	9.1	12.6	15.9	19.6	24.8	29.6	33.3	32.3	27.7	21.6	14.2	8.8	49.2	-8.3	7	5	1	2	0	0	1	2	3	1	4	4	60.8	69	72.8	79.7	81.8	87.9	88.6	88.8	87.3	81.7	68	61.6	0	0	0	0	0	100	0	0	0	0
"S9"	7587.7	5762.7	0	8.8	33.2	0.0221	31.0682	1408.682	0.0221	31.0682	1408.682	0.0221	31.0682	1408.682	0	31	0.2258	0.0323	9.1	12.6	15.8	19.5	24.7	29.5	33.2	32.2	27.7	21.5	14.2	8.8	49.1	-8.4	7	6	1	2	0	0	1	2	3	1	4	4	60.8	69.1	72.8	79.7	81.7	87.8	88.6	88.7	87.2	81.7	68	61.6	0	0	0	0	0	100	0	0	0	0
"S10"	7487.3	5662.3	0	8.5	33	0.0236	33.0365	1400.7388	0.0236	33.0365	1400.7388	0.0236	33.0365	1400.7388	0	33	0.2424	0.0303	8.9	12.3	15.5	19.2	24.4	29.2	33	32	27.4	21.2	13.9	8.5	48.8	-9	8	6	1	2	0	0	1	2	3	1	5	4	61.1	69.2	72.8	79.6	81.5	87.6	88.4	88.5	87	81.6	68.1	61.9	0	0	0	0	0	100	0	0	0	0
