sample	LONDD	LATDD	ELEV
S1	-119.977	33.956	0
S2	-119	38	1224
S3	-119	38	1339
S4	-119	38	1659
S5	-117.5	35.5	68
S6	-117.5	35.5	81
S7	-117.5	35.5	95
S8	-117.5	35.5	108
S9	-117.5	35.5	122
S10	-117.5	35.5	190
S11	-117.5	35.5	284
S12	-117.5	35.5	528
S13	-117.5	35.5	759
S14	-117.5	35.5	976
S15	-117.5	35.5	1192
S16	-117.25	36.5	910
S17	-117.25	36.5	1060
S18	-117.25	36.5	1220
S19	-117.25	36.5	1370
S20	-117.25	36.5	1520
S21	-116	34	610
S22	-115.5	36.25	705
S23	-115.5	36.25	900
S24	-115.5	36.25	905
S25	-115.5	36.25	945
S26	-115.5	36.25	1000
S27	-115.5	36.25	1090
S28	-115.5	36.25	1120
S29	-115.5	36.25	1160
S30	-115.5	36.25	1305
S31	-115.5	36.25	1415
S32	-115.5	36.25	1585
S33	-115.5	36.25	1615
S34	-115.5	36.25	1710
S35	-113.35	36.77	488
S36	-113.3	36.87	505
S37	-113.2	36.13	540
S38	-113	32	0
S39	-113	32	20
S40	-113	32	20
S41	-113	32	300
S42	-112.93	36.27	567
S43	-112.64	36.4	601
S44	-112.51	36.41	610
S45	-112.4833	29.8333	220
S46	-112.41	36.25	676
S47	-112.26	36.14	716
S48	-112.25	36.25	762
S49	-112.25	36.25	777
S50	-112.25	36.25	915
S51	-112.25	36.25	1005
S52	-112.25	36.25	1067
S53	-112.25	36.25	1160
S54	-112.25	36.25	1220
S55	-112.25	36.25	1340
S56	-112.21	36.11	732
S57	-111.93	36.05	778
S58	-111.89	36.51	904
S59	-111.88	36.41	883
S60	-111.87	36.54	905
S61	-111.86	36.29	854
S62	-111.83	36.11	799
S63	-111.81	36.61	921
S64	-111.8	36.17	815
S65	-111.77	36.7	936
S66	-111.71	36.77	952
S67	-111.63	36.87	979
S68	-111.5	33.5	480
S69	-111.5	33.5	510
S70	-111.5	33.5	540
S71	-111.5	33.5	570
S72	-111.5	33.5	600
S73	-111.5	33.5	630
S74	-111.5	33.5	660
S75	-111.5	33.5	690
S76	-111.5	33.5	720
S77	-111.5	33.5	750
S78	-111.5	33.5	780
S79	-111.5	33.5	810
S80	-111.5	33.5	840
S81	-111.5	33.5	870
S82	-111.5	33.5	900
S83	-111.25	32.33	61
S84	-111.25	32.33	91
S85	-111.25	32.33	610
S86	-111.25	32.33	640
S87	-111.25	32.33	671
S88	-111.25	32.33	701
S89	-111.25	32.33	732
S90	-111.25	32.33	762
S91	-111.25	32.33	793
S92	-111.25	32.33	823
S93	-111.25	32.33	854
S94	-111.25	32.33	884
S95	-111.25	32.33	915
S96	-111.25	32.33	991
S97	-111.25	32.33	1067
S98	-111.25	32.33	1143
S99	-111.25	32.33	1220
S100	-111.25	32.33	1311
S101	-111.25	32.33	1341
S102	-111.25	32.33	1372
S103	-111.25	32.33	1402
S104	-111.25	32.33	1433
S105	-111.25	32.5	760
S106	-111.25	32.5	765
S107	-111.25	32.5	780
S108	-111.25	32.5	790
S109	-111.25	32.5	800
S110	-111	32	728
S111	-111	32.17	670
S112	-111	34	865
S113	-111	34	865
S114	-111	34	865
S115	-111	34	865
S116	-111	34	865
S117	-111	34	865
S118	-111	34	865
S119	-111	34	865
S120	-110.83	32	1520
S121	-110.83	32	1520
S122	-110.83	32	1520
S123	-110.83	32	1520
S124	-110.83	32	1520
S125	-110.83	32	1520
S126	-110.83	32	1520
S127	-110.83	32	1520
S128	-110.83	32	1520
S129	-110.83	32	1520
S130	-110.83	32	1520
S131	-110.83	32	1520
S132	-110.83	32	1520
S133	-110.83	32	1520
S134	-110.83	32	1520
S135	-110.83	32	1520
S136	-110.83	32	1520
S137	-110.83	32	1520
S138	-110.83	32	1520
S139	-110.83	32	1520
S140	-110.83	32	1520
S141	-110	32	1220
S142	-110	32	1220
S143	-110	32	1265
S144	-110	32	1265
S145	-110	32	1265
S146	-110	32	1265
S147	-110	32	1265
S148	-110	32	1265
S149	-110	32	1265
S150	-110	32	1265
S151	-110	32	1265
S152	-110	32	1265
S153	-110	34	1801
S154	-110	34	1811
S155	-110	34	1828
S156	-110	34	1832
S157	-110	34	1834
S158	-110	34	1841
S159	-110	34	1843
S160	-110	34	1844
S161	-110	34	1844
S162	-110	34	1853
S163	-110	34	1868
S164	-110	34	1868
S165	-110	34	1873
S166	-110	34	1874
S167	-110	34	1877
S168	-110	34	1881
S169	-110	34	1883
S170	-110	34	1885
S171	-110	35	1829
S172	-110	35	1829
S173	-110	35	1829
S174	-110	35	1829
S175	-110	35	1829
S176	-110	35	1829
S177	-110	35	1919
S178	-110	35	1982
S179	-110	35	1982
S180	-110	35	1982
S181	-110	35	1982
S182	-110	35	1982
S183	-110	35	1982
S184	-110	35	1982
S185	-110	35	1982
S186	-109.83	32.75	940
S187	-109.83	34.25	1400
S188	-109.83	34.25	1450
S189	-109.54	36.16	1750
S190	-109.53	36.17	1770
S191	-109.51	36.17	1820
S192	-109	36.25	1707
S193	-109	36.25	1707
S194	-109	36.25	1707
S195	-109	36.25	1723
S196	-109	36.25	1829
S197	-108.25	33.867	2069
S198	-108.25	33.867	2069
S199	-107.5	35.5	2076
S200	-107.5	35.5	2127
S201	-107.5	35.5	2130
S202	-107.5	35.5	2133
S203	-107.5	35.5	2136
S204	-107.5	35.5	2157
S205	-107.5	35.5	2163
S206	-107.5	35.5	2166
S207	-107.5	35.5	2175
S208	-107.5	35.5	2178
S209	-107.5	35.5	2181
S210	-107.5	35.5	2193
S211	-107.5	35.5	2196
S212	-107.5	35.5	2211
S213	-107.5	35.5	2217
S214	-107.5	35.5	2226
S215	-107.5	35.5	2235
S216	-107.5	35.5	2235
S217	-107.5	35.5	2238
S218	-107.5	35.5	2250
S219	-107.5	35.5	2250
S220	-107.5	35.5	2250
S221	-107.5	35.5	2262
S222	-107.5	35.5	2271
S223	-105	36	1829
S224	-105	36	1931
S225	-105	36	2032
S226	-105	36	2134
S227	-105	36	2236
S228	-105	36	2338
S229	-105	36	2439
S230	-104	36	1585
S231	-104	36	1646
S232	-104	36	1707
S233	-104	36	1768
S234	-103	36	1227
S235	-103	36	1372
S236	-103	36	1448
S237	-103	36	1524
S238	-120.47	46.22	366
S239	-120.1489	42.6597	1585
S240	-120.02	47.65	823
S241	-119.88	46.53	427
S242	-119.85	47.13	381
S243	-119.8	47.73	792
S244	-119.73	47.83	762
S245	-119.67	47.6	610
S246	-119.58	47.88	671
S247	-119.53	47.45	610
S248	-119.48	46.38	244
S249	-119.48	47.93	671
S250	-119.45	47.25	381
S251	-119.43	46.38	137
S252	-119.42	46.73	213
S253	-119.41	47.21	366
S254	-119.37	47.6	488
S255	-119.37	47.88	655
S256	-119.3681	41.7625	1840
S257	-119.25	37.75	2104
S258	-119.25	37.75	2134
S259	-119.25	37.75	2134
S260	-119.25	37.75	2484
S261	-119.25	37.75	2744
S262	-119.0611	41.8189	1752
S263	-118.96	47.43	488
S264	-118.93	46.5	488
S265	-118.86	47.63	610
S266	-118.85	47.08	457
S267	-118.75	47.45	549
S268	-118.68	47.1	549
S269	-118.68	47.35	518
S270	-118.58	46.65	335
S271	-118.58	47.12	549
S272	-118.45	42.7653	1265
S273	-118.43	46.78	503
S274	-118.41	37.45	1280
S275	-118.37	46.77	457
S276	-118.3433	42.9172	1280
S277	-118.32	46.83	518
S278	-118.3	46.78	411
S279	-118.18	47	457
S280	-117.96	47.31	549
S281	-117.95	47.28	610
S282	-117.85	46.82	488
S283	-117.12	46.85	762
S284	-116.75	38.83	1890
S285	-116.75	38.83	1906
S286	-116.75	38.83	1906
S287	-116.75	38.83	1911
S288	-116.75	38.83	1922
S289	-116.75	38.83	1924
S290	-116.75	38.83	1924
S291	-116.75	38.83	1953
S292	-116.75	38.83	1958
S293	-116.75	38.83	1968
S294	-116.75	38.83	1983
S295	-116.75	38.83	1999
S296	-116.75	38.83	2014
S297	-116.75	38.83	2026
S298	-116.75	38.83	2029
S299	-116.75	38.83	2045
S300	-116.75	38.83	2060
S301	-116.75	38.83	2062
S302	-116.75	38.83	2094
S303	-116.75	38.83	2128
S304	-116.75	38.83	2162
S305	-116.75	38.83	2195
S306	-116.75	38.83	2214
S307	-116.75	38.83	2233
S308	-116.75	38.83	2252
S309	-116.75	38.83	2272
S310	-116.75	38.83	2348
S311	-116.75	38.83	2439
S312	-116.75	38.83	2531
S313	-116.75	38.83	2622
S314	-116.75	38.83	2713
S315	-116.75	38.83	2805
S316	-116.75	38.83	2896
S317	-116	43	1219
S318	-115.5	41.25	1810
S319	-115.5	41.25	1832
S320	-115.5	41.25	1849
S321	-115.5	41.25	1866
S322	-115.5	41.25	1874
S323	-115.5	41.25	1896
S324	-115.5	41.25	1911
S325	-115.5	41.25	1921
S326	-115.5	41.25	1938
S327	-115.5	41.25	1949
S328	-115.5	41.25	1964
S329	-113.67	42.33	792
S330	-113.67	42.33	1008
S331	-113.67	42.33	1432
S332	-113.67	42.33	1432
S333	-113.67	42.33	1509
S334	-113.67	42.33	1646
S335	-113.67	42.33	1646
S336	-113.67	42.33	1737
S337	-113.67	42.33	1890
S338	-113.67	42.33	1951
S339	-113.67	42.33	2042
S340	-113.67	42.33	2073
S341	-113.67	42.33	2134
S342	-113.67	42.33	2378
S343	-113.67	42.33	2469
S344	-113.67	42.33	2500
S345	-113.67	42.33	2500
S346	-113.67	42.33	2743
S347	-112.67	43.5	1580
S348	-112.67	43.5	1590
S349	-112.67	43.5	1600
S350	-112	42.33	1448
S351	-112	42.33	1499
S352	-112	42.33	1677
S353	-112	42.33	1951
S354	-110.58	31.75	1460
S355	-110.5	48.883	945
S356	-109.867	48.9	854
S357	-109.517	42.317	2043
S358	-109.34	36.28	2080
S359	-109.33	36.29	2120
S360	-109.31	36.28	2150
S361	-109.29	36.28	2170
S362	-109.2	36.29	2130
S363	-108.867	42.45	2439
S364	-108.5	36.5	1988
S365	-108.5	36.5	2012
S366	-108.5	36.5	2036
S367	-108.5	36.5	2060
S368	-108.5	36.5	2084
S369	-108.5	36.5	2108
S370	-108.5	36.5	2132
S371	-108.5	36.5	2156
S372	-108.5	36.5	2180
S373	-108.5	36.5	2252
S374	-108.5	36.5	2276
S375	-108.117	43.8	1235
S376	-107.75	37.5	2085
S377	-107.75	37.5	2158
S378	-107.75	37.5	2188
S379	-107.75	37.5	2262
S380	-107.533	44.017	1402
S381	-107.08	38.83	2470
S382	-107.08	38.83	2550
S383	-107.08	38.83	2680
S384	-107.08	38.83	2680
S385	-107.08	38.83	2690
S386	-107.08	38.83	2710
S387	-107.08	38.83	2720
S388	-106.8	48.883	793
S389	-105.533	44.283	1387
S390	-105.45	43.5	1450
S391	-120.25	38.75	148
S392	-120.25	38.75	610
S393	-119.78	37.68	580
S394	-119.44	36.98	400
S395	-119.41	37.01	500
S396	-119.4	37.02	700
S397	-119.25	37.75	305
S398	-119.25	37.75	366
S399	-119.25	37.75	915
S400	-119	37	205
S401	-119	37	205
S402	-118	34	10
S403	-118	34	10
S404	-118	34	10
S405	-118	34	10
S406	-118	34	10
S407	-118	34	10
S408	-118	34	61
S409	-118	34	62
S410	-118	34	69
S411	-118	34	175
S412	-118	34	234
S413	-118	34	237
S414	-118	34	239
S415	-118	34	259
S416	-118	34	259
S417	-118	34	275
S418	-118	34	277
S419	-117.85	33.65	0
S420	-117.85	33.65	10
S421	-117.85	33.65	10
S422	-117.85	33.65	10
S423	-117.85	33.65	30
S424	-117.85	33.65	610
S425	-117	34	117
S426	-116.75	32.83	830
S427	-116.75	32.83	839
S428	-116.75	32.83	871
S429	-116.75	32.83	873
S430	-116.75	32.83	907
S431	-116.75	32.83	959
S432	-116.75	32.83	992
S433	-116.75	32.83	993
S434	-109.83	34.25	1764
S435	-135.7	57.43	61
S436	-134.25	57.65	91
S437	-124	44.9667	5
S438	-123.3167	44.5333	91
S439	-123.3	44.5333	122
S440	-123.3	44.55	91
S441	-123.25	44.7333	137
S442	-123.1767	44.5503	65
S443	-122.9	44.5167	91
S444	-122.8	44.3833	152
S445	-122.5	48.4	2
S446	-121.4311	44.5397	747
S447	-120.9536	42.3117	1469
S448	-120.83	56.25	671
S449	-120.7	46.38	274
S450	-120.7	47.1	594
S451	-120.7	47.65	549
S452	-120.67	46.38	259
S453	-120.65	46.38	259
S454	-120.47	46.9	610
S455	-120.45	46.28	244
S456	-120.32	46.33	229
S457	-120.26	46.53	411
S458	-119.8806	42.2053	1364
S459	-119.8	46.55	488
S460	-119.75	47.15	366
S461	-119.73	46.2	305
S462	-119.72	49.32	803
S463	-119.62	46.73	213
S464	-119.62	48.63	1067
S465	-119.6	46.12	335
S466	-119.6	46.88	290
S467	-119.6	47.75	762
S468	-119.58	49.4	457
S469	-119.57	49.27	488
S470	-119.5	48.1	732
S471	-119.5	48.25	808
S472	-119.5	49.24	305
S473	-119.48	45.95	335
S474	-119.48	46.28	152
S475	-119.43	46.93	122
S476	-119.43	47.15	366
S477	-119.38	45.93	152
S478	-119.35	47.9	640
S479	-119.3	46.33	137
S480	-119.25	37.75	610
S481	-119.25	37.75	915
