sample	vegcode	elev
S1	1	0
S2	1	1224
S3	1	1339
S4	1	1659
S5	1	68
S6	1	81
S7	1	95
S8	1	108
S9	1	122
S10	1	190
S11	1	284
S12	1	528
S13	1	759
S14	1	976
S15	1	1192
S16	1	910
S17	1	1060
S18	1	1220
S19	1	1370
S20	1	1520
S21	1	610
S22	1	705
S23	1	900
S24	1	905
S25	1	945
S26	1	1000
S27	1	1090
S28	1	1120
S29	1	1160
S30	1	1305
S31	1	1415
S32	1	1585
S33	1	1615
S34	1	1710
S35	1	488
S36	1	505
S37	1	540
S38	1	0
S39	1	20
S40	1	20
S41	1	300
S42	1	567
S43	1	601
S44	1	610
S45	1	220
S46	1	676
S47	1	716
S48	1	762
S49	1	777
S50	1	915
S51	1	1005
S52	1	1067
S53	1	1160
S54	1	1220
S55	1	1340
S56	1	732
S57	1	778
S58	1	904
S59	1	883
S60	1	905
S61	1	854
S62	1	799
S63	1	921
S64	1	815
S65	1	936
S66	1	952
S67	1	979
S68	1	480
S69	1	510
S70	1	540
S71	1	570
S72	1	600
S73	1	630
S74	1	660
S75	1	690
S76	1	720
S77	1	750
S78	1	780
S79	1	810
S80	1	840
S81	1	870
S82	1	900
S83	1	61
S84	1	91
S85	1	610
S86	1	640
S87	1	671
S88	1	701
S89	1	732
S90	1	762
S91	1	793
S92	1	823
S93	1	854
S94	1	884
S95	1	915
S96	1	991
S97	1	1067
S98	1	1143
S99	1	1220
S100	1	1311
S101	1	1341
S102	1	1372
S103	1	1402
S104	1	1433
S105	1	760
S106	1	765
S107	1	780
S108	1	790
S109	1	800
S110	1	728
S111	1	670
S112	1	865
S113	1	865
S114	1	865
S115	1	865
S116	1	865
S117	1	865
S118	1	865
S119	1	865
S120	1	1520
S121	1	1520
S122	1	1520
S123	1	1520
S124	1	1520
S125	1	1520
S126	1	1520
S127	1	1520
S128	1	1520
S129	1	1520
S130	1	1520
S131	1	1520
S132	1	1520
S133	1	1520
S134	1	1520
S135	1	1520
S136	1	1520
S137	1	1520
S138	1	1520
S139	1	1520
S140	1	1520
S141	1	1220
S142	1	1220
S143	1	1265
S144	1	1265
S145	1	1265
S146	1	1265
S147	1	1265
S148	1	1265
S149	1	1265
S150	1	1265
S151	1	1265
S152	1	1265
S153	1	1801
S154	1	1811
S155	1	1828
S156	1	1832
S157	1	1834
S158	1	1841
S159	1	1843
S160	1	1844
S161	1	1844
S162	1	1853
S163	1	1868
S164	1	1868
S165	1	1873
S166	1	1874
S167	1	1877
S168	1	1881
S169	1	1883
S170	1	1885
S171	1	1829
S172	1	1829
S173	1	1829
S174	1	1829
S175	1	1829
S176	1	1829
S177	1	1919
S178	1	1982
S179	1	1982
S180	1	1982
S181	1	1982
S182	1	1982
S183	1	1982
S184	1	1982
S185	1	1982
S186	1	940
S187	1	1400
S188	1	1450
S189	1	1750
S190	1	1770
S191	1	1820
S192	1	1707
S193	1	1707
S194	1	1707
S195	1	1723
S196	1	1829
S197	1	2069
S198	1	2069
S199	1	2076
S200	1	2127
S201	1	2130
S202	1	2133
S203	1	2136
S204	1	2157
S205	1	2163
S206	1	2166
S207	1	2175
S208	1	2178
S209	1	2181
S210	1	2193
S211	1	2196
S212	1	2211
S213	1	2217
S214	1	2226
S215	1	2235
S216	1	2235
S217	1	2238
S218	1	2250
S219	1	2250
S220	1	2250
S221	1	2262
S222	1	2271
S223	1	1829
S224	1	1931
S225	1	2032
S226	1	2134
S227	1	2236
S228	1	2338
S229	1	2439
S230	1	1585
S231	1	1646
S232	1	1707
S233	1	1768
S234	1	1227
S235	1	1372
S236	1	1448
S237	1	1524
S238	3	366
S239	3	1585
S240	3	823
S241	3	427
S242	3	381
S243	3	792
S244	3	762
S245	3	610
S246	3	671
S247	3	610
S248	3	244
S249	3	671
S250	3	381
S251	3	137
S252	3	213
S253	3	366
S254	3	488
S255	3	655
S256	3	1840
S257	3	2104
S258	3	2134
S259	3	2134
S260	3	2484
S261	3	2744
S262	3	1752
S263	3	488
S264	3	488
S265	3	610
S266	3	457
S267	3	549
S268	3	549
S269	3	518
S270	3	335
S271	3	549
S272	3	1265
S273	3	503
S274	3	1280
S275	3	457
S276	3	1280
S277	3	518
S278	3	411
S279	3	457
S280	3	549
S281	3	610
S282	3	488
S283	3	762
S284	3	1890
S285	3	1906
S286	3	1906
S287	3	1911
S288	3	1922
S289	3	1924
S290	3	1924
S291	3	1953
S292	3	1958
S293	3	1968
S294	3	1983
S295	3	1999
S296	3	2014
S297	3	2026
S298	3	2029
S299	3	2045
S300	3	2060
S301	3	2062
S302	3	2094
S303	3	2128
S304	3	2162
S305	3	2195
S306	3	2214
S307	3	2233
S308	3	2252
S309	3	2272
S310	3	2348
S311	3	2439
S312	3	2531
S313	3	2622
S314	3	2713
S315	3	2805
S316	3	2896
S317	3	1219
S318	3	1810
S319	3	1832
S320	3	1849
S321	3	1866
S322	3	1874
S323	3	1896
S324	3	1911
S325	3	1921
S326	3	1938
S327	3	1949
S328	3	1964
S329	3	792
S330	3	1008
S331	3	1432
S332	3	1432
S333	3	1509
S334	3	1646
S335	3	1646
S336	3	1737
S337	3	1890
S338	3	1951
S339	3	2042
S340	3	2073
S341	3	2134
S342	3	2378
S343	3	2469
S344	3	2500
S345	3	2500
S346	3	2743
S347	3	1580
S348	3	1590
S349	3	1600
S350	3	1448
S351	3	1499
S352	3	1677
S353	3	1951
S354	3	1460
S355	3	945
S356	3	854
S357	3	2043
S358	3	2080
S359	3	2120
S360	3	2150
S361	3	2170
S362	3	2130
S363	3	2439
S364	3	1988
S365	3	2012
S366	3	2036
S367	3	2060
S368	3	2084
S369	3	2108
S370	3	2132
S371	3	2156
S372	3	2180
S373	3	2252
S374	3	2276
S375	3	1235
S376	3	2085
S377	3	2158
S378	3	2188
S379	3	2262
S380	3	1402
S381	3	2470
S382	3	2550
S383	3	2680
S384	3	2680
S385	3	2690
S386	3	2710
S387	3	2720
S388	3	793
S389	3	1387
S390	3	1450
S391	4	148
S392	4	610
S393	4	580
S394	4	400
S395	4	500
S396	4	700
S397	4	305
S398	4	366
S399	4	915
S400	4	205
S401	4	205
S402	4	10
S403	4	10
S404	4	10
S405	4	10
S406	4	10
S407	4	10
S408	4	61
S409	4	62
S410	4	69
S411	4	175
S412	4	234
S413	4	237
S414	4	239
S415	4	259
S416	4	259
S417	4	275
S418	4	277
S419	4	0
S420	4	10
S421	4	10
S422	4	10
S423	4	30
S424	4	610
S425	4	117
S426	4	830
S427	4	839
S428	4	871
S429	4	873
S430	4	907
S431	4	959
S432	4	992
S433	4	993
S434	4	1764
S435	6	61
S436	6	91
S437	6	5
S438	6	91
S439	6	122
S440	6	91
S441	6	137
S442	6	65
S443	6	91
S444	6	152
S445	6	2
S446	6	747
S447	6	1469
S448	6	671
S449	6	274
S450	6	594
S451	6	549
S452	6	259
S453	6	259
S454	6	610
S455	6	244
S456	6	229
S457	6	411
S458	6	1364
S459	6	488
S460	6	366
S461	6	305
S462	6	803
S463	6	213
S464	6	1067
S465	6	335
S466	6	290
S467	6	762
S468	6	457
S469	6	488
S470	6	732
S471	6	808
S472	6	305
S473	6	335
S474	6	152
S475	6	122
S476	6	366
S477	6	152
S478	6	640
S479	6	137
S480	6	610
S481	6	915
S482	6	274
S483	6	700
S484	6	351
S485	6	351
S486	6	792
S487	6	2322
S488	6	2439
S489	6	2439
S490	6	290
S491	6	351
S492	6	351
S493	6	290
S494	6	2530
S495	6	701
S496	6	457
S497	6	914
S498	6	564
S499	6	457
S500	6	320
S501	6	351
S502	6	488
S503	6	610
S504	6	488
S505	6	427
S506	6	427
S507	6	2
S508	6	549
S509	6	488
S510	6	610
S511	6	1372
S512	6	701
S513	6	716
S514	6	732
S515	6	610
S516	6	732
S517	6	610
S518	6	732
S519	6	732
S520	6	732
S521	6	671
S522	6	732
S523	6	914
S524	6	762
S525	6	732
S526	6	732
S527	6	853
S528	6	762
S529	6	792
S530	6	792
S531	6	914
S532	6	924
S533	6	960
S534	6	960
S535	6	1000
S536	6	1061
S537	6	1090
S538	6	1146
S539	6	1170
S540	6	1250
S541	6	1317
S542	6	1524
S543	6	762
