Date,SWE,PREC_ACCUM,TMax_F,TMin_F,TAge_F,PREC_INCR
1978-10-01,0.0,0.0,,,,0.00
1978-10-02,0.0,0.0,,,,0.00
1978-10-03,0.0,0.0,,,,0.00
1978-10-04,0.0,0.0,,,,0.00
1978-10-05,0.0,0.0,,,,0.00
1978-10-06,0.0,0.0,,,,0.00
1978-10-07,0.0,0.0,,,,0.00
1978-10-08,0.0,0.0,,,,0.00
1978-10-09,0.0,0.0,,,,0.00
1978-10-10,0.0,0.0,,,,0.00
1978-10-11,0.0,0.0,,,,0.00
1978-10-12,0.0,0.0,,,,0.00
1978-10-13,0.0,0.0,,,,0.00
1978-10-14,0.0,0.0,,,,0.00
1978-10-15,0.0,0.0,,,,0.20
1978-10-16,0.0,0.2,,,,0.00
1978-10-17,0.0,0.2,,,,0.00
1978-10-18,0.0,0.2,,,,0.00
1978-10-19,0.0,0.2,,,,0.00
1978-10-20,0.0,0.2,,,,0.10
1978-10-21,0.0,0.3,,,,1.00
1978-10-22,0.2,1.3,,,,0.00
1978-10-23,0.2,1.3,,,,0.00
1978-10-24,0.0,1.3,,,,0.30
1978-10-25,0.0,1.6,,,,0.00
1978-10-26,0.0,1.6,,,,0.00
1978-10-27,0.0,1.6,,,,0.00
1978-10-28,0.0,1.6,,,,0.00
1978-10-29,0.0,1.6,,,,0.00
1978-10-30,0.0,1.6,,,,0.00
1978-10-31,0.0,1.6,,,,0.00
1978-11-01,0.0,1.6,,,,0.00
1978-11-02,0.0,1.6,,,,0.00
1978-11-03,0.0,1.6,,,,0.00
1978-11-04,0.0,1.6,,,,0.00
1978-11-05,0.0,1.6,,,,0.00
1978-11-06,0.0,1.6,,,,0.00
1978-11-07,0.0,1.6,,,,0.10
1978-11-08,0.0,1.7,,,,0.00
1978-11-09,0.0,1.7,,,,0.00
1978-11-10,0.0,1.7,,,,0.30
1978-11-11,0.3,2.0,,,,1.10
1978-11-12,1.8,3.1,,,,0.60
1978-11-13,2.3,3.7,,,,0.00
1978-11-14,2.3,3.7,,,,0.00
1978-11-15,2.3,3.7,,,,0.00
1978-11-16,2.3,3.7,,,,0.00
1978-11-17,2.3,3.7,,,,0.00
1978-11-18,2.3,3.7,,,,0.10
1978-11-19,2.5,3.8,,,,0.00
1978-11-20,2.5,3.8,,,,0.00
1978-11-21,2.5,3.8,,,,0.00
1978-11-22,2.5,3.8,,,,0.00
1978-11-23,2.5,3.8,,,,0.00
1978-11-24,2.5,3.8,,,,0.00
1978-11-25,2.5,3.8,,,,0.00
1978-11-26,2.5,3.8,,,,0.00
1978-11-27,2.5,3.8,,,,0.00
1978-11-28,2.5,3.8,,,,0.10
1978-11-29,2.7,3.9,,,,0.20
1978-11-30,3.0,4.1,,,,0.30
