Farm,Month,Year,Sex,clas1_4,LCT,KFI,Ecervi,Tb
AL,10,0,1,4,191,20.45,0,0
AL,10,0,1,4,180,16.4,0,0
AL,10,0,1,3,192,15.9,2.38,0
AL,10,0,1,4,196,17.3,0,0
AL,10,0,1,4,204,,0,
AL,10,0,1,4,190,16.3,0,0
AL,10,0,1,4,196,22.2,1.21,
AL,10,0,1,4,200,14.7,0,1
AL,10,0,1,4,197,13.5,0.8,0
AL,10,0,1,4,208,15.15,0,0
AL,10,0,1,4,216,15.2,0,0
AL,10,0,1,4,199,14.5,0.9,1
AL,10,0,1,4,178,11.55,53.6,1
AL,10,0,1,4,206,14,14.37,0
AL,11,2,2,3,164,24.52,0,0
AU,12,99,1,3,173,,27.7554,0
AU,12,99,1,3,172,26,5.4846,0
AU,12,99,1,4,184,16.1,5.4846,0
AU,12,99,1,3,170,,0,
AU,12,99,1,3,155,,0,
AU,12,99,1,4,195,28,36.0654,0
AU,12,99,1,4,180,,0,0
AU,12,99,1,4,190,27,3.9888,0
AU,12,99,1,3,169,,3.6564,
AU,12,99,1,4,184,,,
AU,12,99,1,4,169,,177.3354,0
AU,12,99,1,4,188,28.93,24.93,0
AU,12,99,1,4,185,,286.695,
AU,12,99,1,4,185,23,0.6648,0
AU,12,99,1,4,190,,,0
AU,12,99,1,3,158,24,3.6564,0
AU,12,99,1,3,153,,0,0
AU,12,99,1,4,167,,5.4846,
AU,12,99,1,4,174,,77.6154,
AU,12,99,1,3,170,41,24.93,0
AU,12,99,1,4,180,14,49.86,0
AU,2,1,1,4,173,20.6,2.5,0
AU,2,1,1,4,175,,50.9,
AU,2,1,1,3,176,11.85,24.15,0
AU,2,1,1,4,184,14.55,22,0
AU,2,1,1,3,153,,24.55,
AU,2,1,1,4,,,,
AU,2,1,,,,,,
AU,2,1,,3,,,,
AU,2,1,1,3,178,29.25,143.14,0
AU,2,1,1,3,174,16.25,9.7,0
AU,2,1,1,4,161,9.75,237.8,0
AU,2,1,1,3,169,,131.4,0
AU,2,1,1,3,170,15.05,27.62,0
AU,2,1,1,3,160,,20.7,
AU,2,1,1,4,175,15.55,20,0
AU,2,1,1,4,184,,104.1,
BA,1,0,2,,143,35,7.9776,0
BA,1,0,2,3,148,,38.226,0
BA,1,0,2,2,122,,0,
BA,1,0,2,4,139,,66.48,0
BA,1,0,2,,150,,,
BA,1,0,2,3,137,,0,
BA,1,0,2,,145,,0,0
BA,1,0,2,4,168,76,11.634,0
BA,1,0,2,3,161,55,2.8254,0
BA,1,0,2,,153,95,,0
BA,1,0,2,4,156,,116.34,0
BA,1,0,,1,116,20,0,0
BA,1,0,,1,128,,0,0
BA,1,0,2,4,148,,0,0
BA,1,0,1,4,170,,5.4846,
BA,1,0,2,3,158,,,0
BA,1,0,2,,,,,
BA,1,0,2,4,,20,,0
BA,1,0,2,4,,,,0
BA,1,0,2,4,,132,,0
BA,1,0,2,2,145,,28.5864,
BA,1,0,2,3,138,,0.3324,0
BA,1,0,,1,,,0,0
BA,1,0,,1,125,,2.8254,
BA,1,0,,1,134,,0,0
BA,1,0,1,2,149,17,,
