Year,Month,DecDate,TempAnom
1881,1,1881.041667,-0.2
1881,2,1881.125,-0.24
1881,3,1881.208333,-0.01
1881,4,1881.291667,-0.05
1881,5,1881.375,-0.06
1881,6,1881.458333,-0.32
1881,7,1881.541667,-0.14
1881,8,1881.625,-0.12
1881,9,1881.708333,-0.26
1881,10,1881.791667,-0.29
1881,11,1881.875,-0.38
1881,12,1881.958333,-0.3
1882,1,1882.041667,-0.13
1882,2,1882.125,-0.02
1882,3,1882.208333,-0.1
1882,4,1882.291667,-0.29
1882,5,1882.375,-0.25
1882,6,1882.458333,-0.33
1882,7,1882.541667,-0.27
1882,8,1882.625,-0.14
1882,9,1882.708333,-0.25
1882,10,1882.791667,-0.38
1882,11,1882.875,-0.37
1882,12,1882.958333,-0.52
1883,1,1883.041667,-0.46
1883,2,1883.125,-0.41
1883,3,1883.208333,-0.18
1883,4,1883.291667,-0.23
1883,5,1883.375,-0.27
1883,6,1883.458333,-0.11
1883,7,1883.541667,-0.1
1883,8,1883.625,-0.21
1883,9,1883.708333,-0.31
1883,10,1883.791667,-0.34
1883,11,1883.875,-0.33
1883,12,1883.958333,-0.29
1884,1,1884.041667,-0.27
1884,2,1884.125,-0.19
1884,3,1884.208333,-0.36
1884,4,1884.291667,-0.39
1884,5,1884.375,-0.37
1884,6,1884.458333,-0.37
1884,7,1884.541667,-0.29
1884,8,1884.625,-0.2
1884,9,1884.708333,-0.32
1884,10,1884.791667,-0.34
1884,11,1884.875,-0.36
1884,12,1884.958333,-0.32
1885,1,1885.041667,-0.61
1885,2,1885.125,-0.33
1885,3,1885.208333,-0.24
1885,4,1885.291667,-0.4
1885,5,1885.375,-0.33
1885,6,1885.458333,-0.42
1885,7,1885.541667,-0.3
1885,8,1885.625,-0.26
1885,9,1885.708333,-0.23
1885,10,1885.791667,-0.24
1885,11,1885.875,-0.19
1885,12,1885.958333,-0.06
1886,1,1886.041667,-0.37
1886,2,1886.125,-0.44
1886,3,1886.208333,-0.28
1886,4,1886.291667,-0.21
1886,5,1886.375,-0.19
1886,6,1886.458333,-0.33
1886,7,1886.541667,-0.08
1886,8,1886.625,-0.23
